,result,table,_start,_stop,_time,_value,_field,_measurement,device_type,location,sensor_id,source
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T00:21:00Z,58.42857142857143,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T00:24:00Z,59.76470588235294,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T00:27:00Z,59.6875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T00:30:00Z,59.1875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T00:33:00Z,61.411764705882355,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T00:36:00Z,59.375,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T00:39:00Z,57.6875,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T00:42:00Z,57.35294117647059,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T00:45:00Z,60.125,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
,mean,0,2026-01-29T00:19:38.066417047Z,2026-02-05T00:19:38.066417047Z,2026-01-29T00:48:00Z,58.625,pm10,environmental_sensors,environmental,default,default,mqtt-sensor
